,rating,rating_title,rating_description,rating_pros,rating_cons
63,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
64,5.0,Great Company Bad Account Managers,Was doing well then the higher ups who was handling our account was caught manipulating statistics. 500 plus employees were forced to look for work. Very traumatic,,
65,3.0,"Good company, fair pay, good company culture (in theory)","Cannot complain about the company itself and the pay, but google is supposed to have an amazing company culture, which it is true on how the company manages at the very top management, but actually it is a very close environment, not much based on meritocracy but more on whether managers like you or giving more chances depending on who you personally know that might help getting in.",,
66,5.0,Great experience,Having been able to work at my own schedule and fill my time in my personal life was very helpful in keeping balance between my personal life and work,,
67,5.0,Incrível lugar para trabalhar,"Uma das melhores companhias para trabalhar no mundo, onde se tem um aprendizado constante, trenamentos, oportunidades de crescimento e um excelente clima laboral.",,
68,5.0,respectable and fun work environment,"Always had ban better days than bad. Interpersonal relations were good, always got along with fellow counterpart co-workers. Some bad apples in the bunch but that's just life.",,
69,5.0,Amazing collection of diversified individuals,Loved the way people are always changing positions and always ready to take on new challenges. It was amazing too see how much you grow with people and resources able to help you develop into a better employee.,,
70,4.0,"Productive, fun learning enviroment","Productive, fun learning environment that easily enables anyone to come out of their comfort zone. Also a phenomenal support system. Friendly and professional.",Free lunch,None
71,5.0,"παραγωγικό, χαλαρό περιβάλλον εργασίας","Παραγωγικό, δυναμικό περιβάλλον εργασίας με πολλές προοπτικές εξέλιξης",,
72,5.0,productive and fun work place..,I love my work and work place  which has lot of enjoyment and every one used to support like manger till team lead daily activities used to be fun and entertaining before we start some ne process our team lead used to explain and well be prepared for the next project where he also used to be very enthusiastic.,,
73,5.0,"Work life balance, good opportunities to take up and fun at work!","Work life balance, good opportunities to take up and fun at work!.  Working at Google is a life time experience. Not only you learn a lot but the culture and ambience of that place is amazing and enriching.",,
74,4.0,Productive and fun at work,"A good place to work and balance your life too,. The freedom to express you skills is much appreciated.. Scope to learn and grow professionally. . Good ..",,
75,4.0,Operations Assembly,"My position was only a temp contract job. Very friendly environment,  but also very competitive between the temps as each were vying for a full time position. Some cut throat tactics and by temps and some favoritism from some staff. Overall,  it was a learning experience.",,
76,4.0,A good freelance job,Great place to freelance. I'd happily work there again another time. Fun video to make. Cool free canteen. You guys have any more jobs going? If so give me a shout!,,
77,5.0,People’s company,Google is a company that works with their employees to help them become better at what they do. They help you balance you life with work and when you go into work you feel at home.,,
78,5.0,Happy employee,I’ve had an incredibly positive experience working at Google for the past two years. It’s a company that cares for its employees and compensated fairly.,,
79,4.0,environnement de travail très agréable,Je n'ai pas stressée par le temps et effectuais mon travail à mon propre rythme.,,
80,5.0,They hire on the spot.,"I love this company, the training was clear and understanding, and it was a very friendly place to work. I learned that the vendors came from all over the world. The management were very acknowledged. The company promotes within so there managers had a great idea of how the company is ran, from the entry level. The hardest part of the job was that the building was so big that you couldn't go to far for lunch. The most enjoyable part about working there, is being rewarded for your accomplishments.",,
81,4.0,Environnement global,"Une journée atypique (cela peut dépendre du magasin où on est affilié.). Je ne suis pas restée longtemps hélas, mais j'aurais aimé évoluer dans cette grande ""famille"".. Ce fut une bonne expérience tout de même.",,
82,5.0,agradavel,grande possibilidade de crescimento e qualificação no mercado.,,
83,4.0,Good,"Good place with a lot to learn, environment is good. They willing to teach a new comer. Make sure to follow sop during work. I learn how to handle equipment in laboratory and some quality checking on product.",,
84,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
85,5.0,Industry Leader With Incredible Culture,"There's a reason that Google continuously ranks #1 among the best places to work in the United States. The benefits and compensation are competitive, the opportunities are plentiful and the leadership is best-in-class. Google is no longer a scrappy startup, but rather a large corporation in a competitive tech landscape. Prepare to work hard, collaborate effectively and network internally in order to stand out among the intense competition.",,
86,5.0,Great work environment,Lots of support and collaboration across many engaging projects. You are given an opportunity to grow and your ideas are respected. In addition to all this the campus is beautiful.,,
87,5.0,Nice place to work,Work is responsibility. Culture is great. The Hardest part of job is that it is very hectic. Management is good. Google Ads Learning environment. Typical day at work,,
88,5.0,\uma empesa ótima para trabalhar,A melhor empresa que trabalhei. A viagem que ganhei aos EUA - Moutain View para conhecer a sede Google,,
89,5.0,Amazing work culture,An amazing work environment where everyone is very smart and friendly. I have learned a lot from great coworkers to amazing managers and directors. Great work/life balance and perks. After some time the career path can get a bit slow but an amazing professional experience overall!,,
90,5.0,productive and innovative,A productive and innovative culture and environment. Fostered creativity and did not limit your potential. Positive in most topics. I wished I could have remained with the company if it weren't for personal reasons that forced me to leave.,,
91,5.0,Nice client,Technically strong people. Google was client and i wasn't directly working for google..  We had portal application that was supporting insurance portal of google,,
92,5.0,FAB place to work!,I was on contract at Google for 7 months and loved every minute of it! The people are great and I loved my managers and the work. They have more perks than I’ve ever seen and the Boulder campus rocks!,,
93,5.0,N/a,Great experience. Great perspective. Google fiber optics. Great place to get your cash and check out the next time you get it back in town thanks for sharing my wonderful experience,,
94,4.0,It's a fun place,"I really enjoyed working there. It was a great environment, had good food free lunch and made good money.. they had good people working there also. I loved it.",,
95,4.0,challenging work nature,"To be an accomplished Design Engineer specializing in object oriented design and analysis and to gain extensive experience in the full life cycle of the Machine tool and structural design process including requirements definition, proof of concept, design, innovative implementation",,
96,5.0,Loved the experience..,"Best platform for getting good knowledge  and well formed culture. Work with good timings,well offered food and services.google always employees best side",Employee oreinted,I dont have one also
97,3.0,"A empresa tem uma ótima infraestrutura, mas nenhum apoio emocional",Prefiro não ter mais nenhuma experiência com a empresa aqui no Brasil. Talvez em outro país seja mais favorável,,
98,5.0,Good,A good place to learn and apply your expertise. good experience.,,
99,5.0,Fun,Fun engaging corporate culture. Very mart people. Lots to learn across verticals and technologies. Overall best company I worked at o far. Recommend to anyone,,
100,5.0,good,"like it , good food , fun place . leaving because my manager was terrible. recommendation: ask about your future boss and understand if they will hire someone between you and who you think will be your boss",,
101,4.0,ambiente di lavoro stimolante,ambiente di lavoro stimolante; Management Stabilità del lavoro/Carriera,,
102,5.0,Great company,"It's not a startup anymore, but still an amazing place to work! You learn so much from working with such smart, driven people. And the principles of innovation have successfully created truly amazing products.",,
103,5.0,Innovation technology,I learned a lot in this company about technology and navigation . This was a big opportunity for me to improve my self and my colleges that what able to do. I am glad of that,,
104,4.0,Great place to work,"Google is a great place to work.  Respectful coworkers and management.  The promotions can be very competitive, but the requirements are clear.  Some of the smartest people I've ever worked with.",,
105,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
106,4.0,Good work environment.,Google is a good work environment. There are a lot of perks and opportunities available to advance within the company. The culture is extremely positive and forward thinking.,,
107,5.0,Creating a communication strategy based on a real brief for YouTube Italia.,"The goal of the consultancy project was to improve YouTube quality perception in the digital marketing field and to find a new and relevant way to increase engagement with the content and boost watch time of YouTube, by turning the primary target into YouTube daily active viewers in Italy. In order to do this we first did an analysis of the current market situation using qualitative and quantitative data research. From this we defined a series of key insights which then helped our team to build our concept and overall communication strategy. This was my final project during the Masters degree.",,
108,4.0,Un muy buen lugar de desarrollo,Es un lugar de aprendizaje constante y desarrollo.,,
109,5.0,Great Company,Great company to work for I hate that my assignment ended I would love to go back to Google this was a remote position and flexible wish I could go back to working for them,,
110,5.0,productve and funplacework,Best company on the world  that i can understand . This company ceo is indian and sir can uderstand the indian econmy in this time  . so i have very important  to  need this job,,
111,3.0,Solid Employer,"Google is respectful, well funded, and generally a great place to forward your career..  Pro: You may get to work on something that can change the world and get paid well for doing it..  Con: The company is far too large and opaque for you to make any difference in the company or understand the company as a whole. You will also very likely be forced into a niche where you will learn less and less as time goes on.",,
112,5.0,Engineer's paradise,"Great company culture, very entrepreneurial atmosphere... Great amenities: free food, drinks, gym, play room, tea room etc.  Tons of interesting projects, good tooling which easily available..",,
113,2.0,Anti-inclusion for straight male contractors,"I was happy with the office environment and perks. But in the Japan office there’s a very strong elitist vibe  . Many of the locals only seem to prefer to speak in English, but it was a little stressful negotiating in meetings when the are only semi-fluent or speak slowly. I don’t like the pressure of teaching them English in the workplace for their entertainment. I prefer to accomplish scalable objectives at work  .  Also there is some surreptitious dealings and rumors at the worksite. Not being gay as a male is seemingly a disadvantage",,
114,5.0,Ótima empresa,Considerada o melhor local do mundo para de trabalhar.,,
115,4.0,Easy peacefull,a great environment and managed company which additionally having a strong security system to avoid any possibility of data leaks to protect personal information and security.,,
116,4.0,What,Keep your voice down about politics and dont let them know anything about your side of thing when it comes to politics. Dont work to fast but dont go to slow,,
117,4.0,Productive and Fun work place,"I have been working at Google full-time. Good, flexible, cooperative, growth, development. Nice workplace culture and great learning. Learning new technologies, and friendly staff",,
118,5.0,Good place to work,Overall this was a good place to work - the work was challenging and the hours sometimes long..  Dealing with a wide range of people was a really enjoyable part of working there.,,
119,5.0,Very supportive environment,"As someone very new to the role and market, fellow team members were always on had to assist me in getting orientated, trained, calibrated, and generally feeling settled at the company.",,
120,5.0,Great peace of mind,Google is a great company to work for. However they use the loop whole of hiring temp employ and the never allowing them to get hired into the company. Which is to cut cost. Other then that the company’s a great company to work for.,,
121,4.0,1,"Nie pracowałam w firmie Google, tylko robiłam kurs. Niestety musze wypełnić to pole, ponieważ bez tego nie mogę przejść dalej.",,
122,1.0,Terrible company,They treat employees very bad and just a horrible company overall to work for with no value for their employees .    They also don’t really want to help you succeed,,
123,5.0,Productive and great place to work at,"Every work day was different, it required to adapt to new regulations quickly but it was very stimulating and exciting.. Google has very diverse culture and treats everyone with respect. . I had an opportunity to work with people from all over the world like Brazil, Russia, Germany, France, Israel, Spain.",,
124,3.0,Salary,Only issue with wipro is salary.. they treat every process as bpo.. what google provides is good..like hygiene food nd buliding environment excellent..,,
125,5.0,Very well prioritized,Awesome innovation and care. When I worked for good it showed me that I could be some.body and working for them made me felt like a big percentage of help in the world due to the honor of working for a company so important.,,
126,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
127,3.0,Excellent workplace,Good workplace if you can tolerate ambiguity. I do not have much more to  disclose at this time. I am just filling in the minumum character count for this review.,,
128,4.0,Great experience working abroad!,"The Canadian International School is a great place to work where I advanced my career for over 6 years. It's a wonderful opportunity to live internationally, travel and be in an inclusive education environment.",,
