job_title,salary,company,location,job_summary,post_date,extract_date,job_url
Senior Revenue Accounting Manager,,Intapp,"Charlotte, NC","Responsible for the monthly revenue close process by running rev/ recognition schedules in NetSuite, booking journal entries for manual adjustments, tracking…",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPj_MlSpR2G9IHCPiRh6Jd1xSVBm_MK9O6QUh-R9rWD4lSbZxnSesEqLgKAbfyVE_j_kavUc9LQZdWzfaQ0H7TpZJVhUiqTV30CQcK9AIE-TPxZAhRCTGBvt8bofMjcX2NW1a4sXd_n_kLy0ZBlH0CNmzPj2jT7gzbD96NjRK7r-YeJwu092anD8hUtS3wihIaJR5Kl6J4-n3olrCJsEuyoLj18MKtS9lT67o7eGk4SJOMvAykvaiAC2ROBfbs8e3fe-idhox3hTpVnS08yiUQRStDq7sFVUP_T8ziu870sAJ62JySP5FPzLL6MKzQ_vkKFBcXkGICuOriU9YOtSGZ00rShNUF8zV5ZnqZ5KoV7ncAv4PLDguOJNTnQHTz-8tdw7IU_c2M6TRsPie-aYCcJJR_k9sc7mLlLcJ4flQtOMG93okYkPRYzzXwcKWeVbQWMoMYpx-0ud0qaP1ETF1gMO9c-jREIDtbtXq98NGEF2XVLEoqm25J&p=5&fvj=0&vjs=3
Senior Audit Director - Innovation and Automation,,Truist Financial,"Charlotte, NC","You will be required to create an account (or sign in with an existing account).
Should you have a disability and need assistance with the application process,…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=9d71c34ffb60c5ff&fccid=035229327af06091&vjs=3
Tax Senior - Industry Professional,,CliftonLarsonAllen,"Charlotte, NC","Prepare, supervise, and review individual, C corporation, S corporation, and partnership engagements.
Partner with clients to provide customized tax advisory…",28 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=ed937c4e3053bf0b&fccid=48d824a044be0992&vjs=3
Senior Tax Associate,,"Brumley Robinson & Associates, CPAs PLLC","Huntersville, NC","Brumley Robinson offers an array of tax and accounting services, from bookkeeping and QuickBooks setup, to tax planning and preparation needs.",20 days ago,2020-11-26,"https://www.indeed.com/company/Brumley-Robinson-&-Associates,-CPAs-PLLC/jobs/Senior-Tax-Associate-a2829af392e1da79?fccid=5a4086ac31718965&vjs=3"
Senior Tax Accountant,,CRG,"Cornelius, NC",Summary: A local CPA firm in Cornelius is seeking an experienced Tax Accountant to assist the Partners and be a part of the management team by performing high…,Today,2020-11-26,https://www.indeed.com/rc/clk?jk=b0fe4fa953913003&fccid=89dc50970b63c4cd&vjs=3
Senior Tax Accountant - CPA,,Jonathan White CPA,"Matthews, NC","As part of the JWW accounting team, you will plan, prepare and review high-end business and individual tax returns, engage in complex tax research and strategic…",14 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=26caee3c438a6d29&fccid=9e7f811726b1fa92&vjs=3
Senior Fund Accountant | Real Estate,,CRG,"Charlotte, NC","Assist with planning, directing, and coordinating accounting operational functions.
Review administrator prepared investor allocations to ensure proper…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=99a8a06091fc4115&fccid=89dc50970b63c4cd&vjs=3
Tax Accountant,,Godshall Colgate,"Charlotte, NC","Tax planning and tax projection experience.
Bachelor’s degree in accounting.
5 years tax preparation experience (individual, partnership, S Corps, multi-state).",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=c344c19057579446&fccid=091aff9ac1068798&vjs=3
"Senior Auditor - Charlotte, NC",,Dentsply Sirona,"Charlotte, NC","Some experience planning and executing audits.
Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and…",13 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=6a1340e9818ad21d&fccid=bb44f58e3327622b&vjs=3
Senior Tax Analyst,,Electrolux,"Charlotte, NC","Possible areas of responsibility include, but are not limited to: data input; analysis and processing information into corporate reporting system and tax…",19 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=ddc2c535e79b4a1b&fccid=3a6b309410a33a62&vjs=3
